label,ax,ay,az,gx,gy,gz
0,16632,3108,3264,473,-1989,-1373
0,15704,4672,4568,176,-4702,-911
0,15452,3100,1640,-912,1733,-712
0,16696,4464,2600,-21,-1775,-442
0,14984,3568,2544,-530,728,-1286
0,16928,4384,1756,-528,-4193,1508
0,16296,4212,1968,-108,2041,-1680
0,18152,4476,2288,-111,4808,3444
0,15976,3392,5296,-1024,6163,3898
0,17652,1684,4624,-2477,5236,5790
0,17008,532,6948,-3286,8249,3819
0,15464,-444,7568,-3680,2746,8946
0,14668,-4176,7744,-2845,3520,10324
0,9832,256,5272,-6616,604,13537
0,15172,-3948,3192,-2700,-10296,14395
0,12528,-11024,1540,247,-14830,15671
0,9860,-12672,1340,-669,-5379,4108
0,9032,-12608,480,-300,-7136,5800
0,7980,-15192,680,-1473,16013,4002
0,7524,-13524,2016,-2794,1313,8153
0,6968,-15384,1384,-965,11826,5191
0,4388,-15596,2664,-116,-38,5416
0,4912,-15448,3316,264,6951,3191
0,1780,-16124,3768,-778,9495,3313
0,4568,-14324,3024,-2459,-3348,-764
0,3488,-15524,1996,-1930,6760,2927
0,144,-16176,2412,4091,14630,2887
0,1160,-15812,2320,642,1503,-2316
0,1468,-15372,2676,5116,9523,1060
0,-368,-15280,4800,9856,14591,-4950
0,-468,-14100,8032,9188,11030,-9266
0,3056,-13316,9068,4533,-379,-13031
0,5884,-11704,9360,1379,-1623,-4514
0,5500,-12276,9636,977,-2891,2662
0,3684,-13504,9532,304,-5407,2492
0,4200,-10836,12768,-527,-9565,-1075
0,6760,-14504,4436,-2505,-32768,2973
0,9624,-13780,4224,2567,-12777,2550
0,8020,-13924,3856,-839,-16314,3991
0,8868,-13916,520,920,-5122,1969
0,10868,-14660,-532,228,-3360,1339
0,8608,-13092,3004,292,2153,1888
0,8884,-14772,1544,502,3068,113
0,7188,-14560,2952,-943,-559,1957
0,8912,-14536,956,-295,-144,1080
0,7496,-14520,632,-1662,1146,1805
0,8280,-14656,384,-46,1447,301
0,6544,-14808,684,-1888,-33,1629
0,7560,-15192,384,-1347,2418,861
0,7212,-15100,-412,-2227,-697,2606
0,5776,-14616,-604,-1107,3254,2263
0,6068,-15776,-264,-109,-119,-1258
0,6336,-15256,392,1042,4187,-1368
0,7420,-15912,808,2275,2783,-830
0,6612,-14444,1356,1015,4676,2846
0,5472,-15644,1348,-2600,11667,8426
0,2504,-15460,2032,-2555,14110,8861
0,2176,-15620,1132,-2561,4517,7039
0,-1624,-16688,2172,2091,3660,8075
0,-3448,-15476,1756,4680,7415,5277
0,-4604,-14904,2676,6393,7890,1051
0,-4668,-15424,3740,3556,5749,1738
0,-5924,-14712,3748,-1191,-1165,234
0,-4616,-13376,3380,1758,1810,970
0,-5340,-14828,3536,-1836,1677,2011
0,-6916,-14164,3808,102,2027,538
0,-5240,-15140,3308,470,530,507
0,-6504,-14340,2912,-1476,-686,-989
0,-4936,-15184,3916,531,-625,-1846
0,-5440,-14364,3552,-1103,-911,-1476
0,-4744,-14492,3964,893,867,-466
0,-4676,-15056,3092,759,-505,-1617
0,-4772,-14980,4640,3240,2208,168
0,-5560,-14784,5368,311,-1486,-1832
0,-5536,-14232,4852,2088,1384,-312
0,-4036,-14476,5032,719,-2246,-2021
0,-3448,-14500,7112,470,339,-822
0,-3592,-15040,5572,-2474,-2525,-1154
0,-4256,-15140,5744,1087,326,93
0,-4012,-15060,4932,-870,-1765,854
0,-4144,-13896,5868,3234,-2097,-4261
0,-1776,-15664,7188,5147,-4515,-12677
0,1520,-11688,9468,3230,-2574,-8248
0,3192,-12344,9060,921,-1128,-3661
0,2420,-12648,9260,-546,563,-4107
0,6132,-16228,6716,-1264,-2373,-7241
0,5632,-12868,8068,-2351,1624,-2392
0,7000,-14376,6644,364,889,-2996
0,5584,-13280,8512,-1476,-499,2392
0,4120,-13868,7340,-454,271,4151
